YEAR,INDICATOR_NAME,DATA_VALUE,DATA_SOURCE_NAME,DATABASE_NAME,PRODUCT,PRODUCT_DESCRIPTION,INDICATOR_TYPE,CATEGORY,CONTACT,FREQUENCY,AKFIN,ESR,PRELIMINARY,REPORT_CARD_TITLE,INTENDED_ESP_NAME,SUBMISSION_YEAR,GATE1_YEAR,GATE2_YEAR,REMOVED_YEAR,SIGN,WEIGHT,UNITS,INDICATOR_ORDER,REGION,TIME_START,TIME_END,STATUS_TRENDS,INFLUENTIAL_FACTORS,REFERENCE,DATA_SOURCE_DESCRIPTION
2021,Spring_pH_BBRKC_Model,7.9523,AFSC Bering Ecosystem Study Nutrient-Phytoplankton-Zooplankton,ROMS Bering10K,Spring_pH_BBRKC_Model,A pH index developed from Bering10K ROMS model output was calculated as the average bottom pH aggregated over the Bristol Bay red king crab management area from Feb-April.,Ecosystem,Physical,Darren Pilcher,Annually,N,Eastern Bering Sea,N,Spring pH index in Bristol Bay crab management area from the Bering10K ROMS-NPZ model,Bristol Bay Red King Crab,2021,2021,NA,NA,1,1,pH,5,NA,2/1/2003,4/30/2022,NA,NA,"Pilcher, D.J., Naiman, D.M., Cross, J.A., Hermann, A.J., Siedlecki, S.A., Gibson, G.A., and Mathis, J.T. (2019), Modeled effect of coastal biogeochemical processes, climate variability, and ocean acidification on aragonite saturation state in the Bering Sea, Front. Mar. Sci., 5:508, doi:10.3389/fmars.2018.00508.","This is a regional model of the Bering Sea region.  See https://beringnpz.github.io/roms-bering-sea/B10K-dataset-docs/ for further information about the ROMS Bering10K model.  Technical details for the specific hindcast simulation used here are as follows: 1) Source code: roms-bering-sea ROMS variant (https://github.com/beringnpz/roms-bering-sea), compiled 04/12/2019 from master branch, commit 0a2d6c80e7, 2) CPP flags: header file (see Apps/NEP/nep5.h from the corresponding source code commit) plus BEST_NPZ, PI_CONSTANT, GPPMID, 3) Model domain: Bering10K 10-km grid, 30 depth layers, 4) Forcing: Atmospheric forcing: 1970-1994 = Coordinated Ocean-ice Reference Experiments, version 2 (CORE); 1995-March 2011 = Climate Forecast System Reanalysis (CFSR); April 2011-present = Climate Forecast System Operational Analysis (CFSv2). See Kearney et al., 2020 (doi:10.5194/gmd-13-597-2020) for further details of atmospheric forcing, lateral boundary conditions, river input, and initialization data."
2020,Spring_pH_BBRKC_Model,7.9633,AFSC Bering Ecosystem Study Nutrient-Phytoplankton-Zooplankton,ROMS Bering10K,Spring_pH_BBRKC_Model,A pH index developed from Bering10K ROMS model output was calculated as the average bottom pH aggregated over the Bristol Bay red king crab management area from Feb-April.,Ecosystem,Physical,Darren Pilcher,Annually,N,Eastern Bering Sea,N,Spring pH index in Bristol Bay crab management area from the Bering10K ROMS-NPZ model,Bristol Bay Red King Crab,2021,2021,NA,NA,1,1,pH,5,NA,2/1/2003,4/30/2022,NA,NA,"Pilcher, D.J., Naiman, D.M., Cross, J.A., Hermann, A.J., Siedlecki, S.A., Gibson, G.A., and Mathis, J.T. (2019), Modeled effect of coastal biogeochemical processes, climate variability, and ocean acidification on aragonite saturation state in the Bering Sea, Front. Mar. Sci., 5:508, doi:10.3389/fmars.2018.00508.","This is a regional model of the Bering Sea region.  See https://beringnpz.github.io/roms-bering-sea/B10K-dataset-docs/ for further information about the ROMS Bering10K model.  Technical details for the specific hindcast simulation used here are as follows: 1) Source code: roms-bering-sea ROMS variant (https://github.com/beringnpz/roms-bering-sea), compiled 04/12/2019 from master branch, commit 0a2d6c80e7, 2) CPP flags: header file (see Apps/NEP/nep5.h from the corresponding source code commit) plus BEST_NPZ, PI_CONSTANT, GPPMID, 3) Model domain: Bering10K 10-km grid, 30 depth layers, 4) Forcing: Atmospheric forcing: 1970-1994 = Coordinated Ocean-ice Reference Experiments, version 2 (CORE); 1995-March 2011 = Climate Forecast System Reanalysis (CFSR); April 2011-present = Climate Forecast System Operational Analysis (CFSv2). See Kearney et al., 2020 (doi:10.5194/gmd-13-597-2020) for further details of atmospheric forcing, lateral boundary conditions, river input, and initialization data."
2019,Spring_pH_BBRKC_Model,7.9463,AFSC Bering Ecosystem Study Nutrient-Phytoplankton-Zooplankton,ROMS Bering10K,Spring_pH_BBRKC_Model,A pH index developed from Bering10K ROMS model output was calculated as the average bottom pH aggregated over the Bristol Bay red king crab management area from Feb-April.,Ecosystem,Physical,Darren Pilcher,Annually,N,Eastern Bering Sea,N,Spring pH index in Bristol Bay crab management area from the Bering10K ROMS-NPZ model,Bristol Bay Red King Crab,2021,2021,NA,NA,1,1,pH,5,NA,2/1/2003,4/30/2022,NA,NA,"Pilcher, D.J., Naiman, D.M., Cross, J.A., Hermann, A.J., Siedlecki, S.A., Gibson, G.A., and Mathis, J.T. (2019), Modeled effect of coastal biogeochemical processes, climate variability, and ocean acidification on aragonite saturation state in the Bering Sea, Front. Mar. Sci., 5:508, doi:10.3389/fmars.2018.00508.","This is a regional model of the Bering Sea region.  See https://beringnpz.github.io/roms-bering-sea/B10K-dataset-docs/ for further information about the ROMS Bering10K model.  Technical details for the specific hindcast simulation used here are as follows: 1) Source code: roms-bering-sea ROMS variant (https://github.com/beringnpz/roms-bering-sea), compiled 04/12/2019 from master branch, commit 0a2d6c80e7, 2) CPP flags: header file (see Apps/NEP/nep5.h from the corresponding source code commit) plus BEST_NPZ, PI_CONSTANT, GPPMID, 3) Model domain: Bering10K 10-km grid, 30 depth layers, 4) Forcing: Atmospheric forcing: 1970-1994 = Coordinated Ocean-ice Reference Experiments, version 2 (CORE); 1995-March 2011 = Climate Forecast System Reanalysis (CFSR); April 2011-present = Climate Forecast System Operational Analysis (CFSv2). See Kearney et al., 2020 (doi:10.5194/gmd-13-597-2020) for further details of atmospheric forcing, lateral boundary conditions, river input, and initialization data."
2018,Spring_pH_BBRKC_Model,7.9469,AFSC Bering Ecosystem Study Nutrient-Phytoplankton-Zooplankton,ROMS Bering10K,Spring_pH_BBRKC_Model,A pH index developed from Bering10K ROMS model output was calculated as the average bottom pH aggregated over the Bristol Bay red king crab management area from Feb-April.,Ecosystem,Physical,Darren Pilcher,Annually,N,Eastern Bering Sea,N,Spring pH index in Bristol Bay crab management area from the Bering10K ROMS-NPZ model,Bristol Bay Red King Crab,2021,2021,NA,NA,1,1,pH,5,NA,2/1/2003,4/30/2022,NA,NA,"Pilcher, D.J., Naiman, D.M., Cross, J.A., Hermann, A.J., Siedlecki, S.A., Gibson, G.A., and Mathis, J.T. (2019), Modeled effect of coastal biogeochemical processes, climate variability, and ocean acidification on aragonite saturation state in the Bering Sea, Front. Mar. Sci., 5:508, doi:10.3389/fmars.2018.00508.","This is a regional model of the Bering Sea region.  See https://beringnpz.github.io/roms-bering-sea/B10K-dataset-docs/ for further information about the ROMS Bering10K model.  Technical details for the specific hindcast simulation used here are as follows: 1) Source code: roms-bering-sea ROMS variant (https://github.com/beringnpz/roms-bering-sea), compiled 04/12/2019 from master branch, commit 0a2d6c80e7, 2) CPP flags: header file (see Apps/NEP/nep5.h from the corresponding source code commit) plus BEST_NPZ, PI_CONSTANT, GPPMID, 3) Model domain: Bering10K 10-km grid, 30 depth layers, 4) Forcing: Atmospheric forcing: 1970-1994 = Coordinated Ocean-ice Reference Experiments, version 2 (CORE); 1995-March 2011 = Climate Forecast System Reanalysis (CFSR); April 2011-present = Climate Forecast System Operational Analysis (CFSv2). See Kearney et al., 2020 (doi:10.5194/gmd-13-597-2020) for further details of atmospheric forcing, lateral boundary conditions, river input, and initialization data."
2017,Spring_pH_BBRKC_Model,7.9928,AFSC Bering Ecosystem Study Nutrient-Phytoplankton-Zooplankton,ROMS Bering10K,Spring_pH_BBRKC_Model,A pH index developed from Bering10K ROMS model output was calculated as the average bottom pH aggregated over the Bristol Bay red king crab management area from Feb-April.,Ecosystem,Physical,Darren Pilcher,Annually,N,Eastern Bering Sea,N,Spring pH index in Bristol Bay crab management area from the Bering10K ROMS-NPZ model,Bristol Bay Red King Crab,2021,2021,NA,NA,1,1,pH,5,NA,2/1/2003,4/30/2022,NA,NA,"Pilcher, D.J., Naiman, D.M., Cross, J.A., Hermann, A.J., Siedlecki, S.A., Gibson, G.A., and Mathis, J.T. (2019), Modeled effect of coastal biogeochemical processes, climate variability, and ocean acidification on aragonite saturation state in the Bering Sea, Front. Mar. Sci., 5:508, doi:10.3389/fmars.2018.00508.","This is a regional model of the Bering Sea region.  See https://beringnpz.github.io/roms-bering-sea/B10K-dataset-docs/ for further information about the ROMS Bering10K model.  Technical details for the specific hindcast simulation used here are as follows: 1) Source code: roms-bering-sea ROMS variant (https://github.com/beringnpz/roms-bering-sea), compiled 04/12/2019 from master branch, commit 0a2d6c80e7, 2) CPP flags: header file (see Apps/NEP/nep5.h from the corresponding source code commit) plus BEST_NPZ, PI_CONSTANT, GPPMID, 3) Model domain: Bering10K 10-km grid, 30 depth layers, 4) Forcing: Atmospheric forcing: 1970-1994 = Coordinated Ocean-ice Reference Experiments, version 2 (CORE); 1995-March 2011 = Climate Forecast System Reanalysis (CFSR); April 2011-present = Climate Forecast System Operational Analysis (CFSv2). See Kearney et al., 2020 (doi:10.5194/gmd-13-597-2020) for further details of atmospheric forcing, lateral boundary conditions, river input, and initialization data."
2016,Spring_pH_BBRKC_Model,7.9751,AFSC Bering Ecosystem Study Nutrient-Phytoplankton-Zooplankton,ROMS Bering10K,Spring_pH_BBRKC_Model,A pH index developed from Bering10K ROMS model output was calculated as the average bottom pH aggregated over the Bristol Bay red king crab management area from Feb-April.,Ecosystem,Physical,Darren Pilcher,Annually,N,Eastern Bering Sea,N,Spring pH index in Bristol Bay crab management area from the Bering10K ROMS-NPZ model,Bristol Bay Red King Crab,2021,2021,NA,NA,1,1,pH,5,NA,2/1/2003,4/30/2022,NA,NA,"Pilcher, D.J., Naiman, D.M., Cross, J.A., Hermann, A.J., Siedlecki, S.A., Gibson, G.A., and Mathis, J.T. (2019), Modeled effect of coastal biogeochemical processes, climate variability, and ocean acidification on aragonite saturation state in the Bering Sea, Front. Mar. Sci., 5:508, doi:10.3389/fmars.2018.00508.","This is a regional model of the Bering Sea region.  See https://beringnpz.github.io/roms-bering-sea/B10K-dataset-docs/ for further information about the ROMS Bering10K model.  Technical details for the specific hindcast simulation used here are as follows: 1) Source code: roms-bering-sea ROMS variant (https://github.com/beringnpz/roms-bering-sea), compiled 04/12/2019 from master branch, commit 0a2d6c80e7, 2) CPP flags: header file (see Apps/NEP/nep5.h from the corresponding source code commit) plus BEST_NPZ, PI_CONSTANT, GPPMID, 3) Model domain: Bering10K 10-km grid, 30 depth layers, 4) Forcing: Atmospheric forcing: 1970-1994 = Coordinated Ocean-ice Reference Experiments, version 2 (CORE); 1995-March 2011 = Climate Forecast System Reanalysis (CFSR); April 2011-present = Climate Forecast System Operational Analysis (CFSv2). See Kearney et al., 2020 (doi:10.5194/gmd-13-597-2020) for further details of atmospheric forcing, lateral boundary conditions, river input, and initialization data."
2015,Spring_pH_BBRKC_Model,7.9771,AFSC Bering Ecosystem Study Nutrient-Phytoplankton-Zooplankton,ROMS Bering10K,Spring_pH_BBRKC_Model,A pH index developed from Bering10K ROMS model output was calculated as the average bottom pH aggregated over the Bristol Bay red king crab management area from Feb-April.,Ecosystem,Physical,Darren Pilcher,Annually,N,Eastern Bering Sea,N,Spring pH index in Bristol Bay crab management area from the Bering10K ROMS-NPZ model,Bristol Bay Red King Crab,2021,2021,NA,NA,1,1,pH,5,NA,2/1/2003,4/30/2022,NA,NA,"Pilcher, D.J., Naiman, D.M., Cross, J.A., Hermann, A.J., Siedlecki, S.A., Gibson, G.A., and Mathis, J.T. (2019), Modeled effect of coastal biogeochemical processes, climate variability, and ocean acidification on aragonite saturation state in the Bering Sea, Front. Mar. Sci., 5:508, doi:10.3389/fmars.2018.00508.","This is a regional model of the Bering Sea region.  See https://beringnpz.github.io/roms-bering-sea/B10K-dataset-docs/ for further information about the ROMS Bering10K model.  Technical details for the specific hindcast simulation used here are as follows: 1) Source code: roms-bering-sea ROMS variant (https://github.com/beringnpz/roms-bering-sea), compiled 04/12/2019 from master branch, commit 0a2d6c80e7, 2) CPP flags: header file (see Apps/NEP/nep5.h from the corresponding source code commit) plus BEST_NPZ, PI_CONSTANT, GPPMID, 3) Model domain: Bering10K 10-km grid, 30 depth layers, 4) Forcing: Atmospheric forcing: 1970-1994 = Coordinated Ocean-ice Reference Experiments, version 2 (CORE); 1995-March 2011 = Climate Forecast System Reanalysis (CFSR); April 2011-present = Climate Forecast System Operational Analysis (CFSv2). See Kearney et al., 2020 (doi:10.5194/gmd-13-597-2020) for further details of atmospheric forcing, lateral boundary conditions, river input, and initialization data."
2014,Spring_pH_BBRKC_Model,7.9398,AFSC Bering Ecosystem Study Nutrient-Phytoplankton-Zooplankton,ROMS Bering10K,Spring_pH_BBRKC_Model,A pH index developed from Bering10K ROMS model output was calculated as the average bottom pH aggregated over the Bristol Bay red king crab management area from Feb-April.,Ecosystem,Physical,Darren Pilcher,Annually,N,Eastern Bering Sea,N,Spring pH index in Bristol Bay crab management area from the Bering10K ROMS-NPZ model,Bristol Bay Red King Crab,2021,2021,NA,NA,1,1,pH,5,NA,2/1/2003,4/30/2022,NA,NA,"Pilcher, D.J., Naiman, D.M., Cross, J.A., Hermann, A.J., Siedlecki, S.A., Gibson, G.A., and Mathis, J.T. (2019), Modeled effect of coastal biogeochemical processes, climate variability, and ocean acidification on aragonite saturation state in the Bering Sea, Front. Mar. Sci., 5:508, doi:10.3389/fmars.2018.00508.","This is a regional model of the Bering Sea region.  See https://beringnpz.github.io/roms-bering-sea/B10K-dataset-docs/ for further information about the ROMS Bering10K model.  Technical details for the specific hindcast simulation used here are as follows: 1) Source code: roms-bering-sea ROMS variant (https://github.com/beringnpz/roms-bering-sea), compiled 04/12/2019 from master branch, commit 0a2d6c80e7, 2) CPP flags: header file (see Apps/NEP/nep5.h from the corresponding source code commit) plus BEST_NPZ, PI_CONSTANT, GPPMID, 3) Model domain: Bering10K 10-km grid, 30 depth layers, 4) Forcing: Atmospheric forcing: 1970-1994 = Coordinated Ocean-ice Reference Experiments, version 2 (CORE); 1995-March 2011 = Climate Forecast System Reanalysis (CFSR); April 2011-present = Climate Forecast System Operational Analysis (CFSv2). See Kearney et al., 2020 (doi:10.5194/gmd-13-597-2020) for further details of atmospheric forcing, lateral boundary conditions, river input, and initialization data."
2013,Spring_pH_BBRKC_Model,7.9438,AFSC Bering Ecosystem Study Nutrient-Phytoplankton-Zooplankton,ROMS Bering10K,Spring_pH_BBRKC_Model,A pH index developed from Bering10K ROMS model output was calculated as the average bottom pH aggregated over the Bristol Bay red king crab management area from Feb-April.,Ecosystem,Physical,Darren Pilcher,Annually,N,Eastern Bering Sea,N,Spring pH index in Bristol Bay crab management area from the Bering10K ROMS-NPZ model,Bristol Bay Red King Crab,2021,2021,NA,NA,1,1,pH,5,NA,2/1/2003,4/30/2022,NA,NA,"Pilcher, D.J., Naiman, D.M., Cross, J.A., Hermann, A.J., Siedlecki, S.A., Gibson, G.A., and Mathis, J.T. (2019), Modeled effect of coastal biogeochemical processes, climate variability, and ocean acidification on aragonite saturation state in the Bering Sea, Front. Mar. Sci., 5:508, doi:10.3389/fmars.2018.00508.","This is a regional model of the Bering Sea region.  See https://beringnpz.github.io/roms-bering-sea/B10K-dataset-docs/ for further information about the ROMS Bering10K model.  Technical details for the specific hindcast simulation used here are as follows: 1) Source code: roms-bering-sea ROMS variant (https://github.com/beringnpz/roms-bering-sea), compiled 04/12/2019 from master branch, commit 0a2d6c80e7, 2) CPP flags: header file (see Apps/NEP/nep5.h from the corresponding source code commit) plus BEST_NPZ, PI_CONSTANT, GPPMID, 3) Model domain: Bering10K 10-km grid, 30 depth layers, 4) Forcing: Atmospheric forcing: 1970-1994 = Coordinated Ocean-ice Reference Experiments, version 2 (CORE); 1995-March 2011 = Climate Forecast System Reanalysis (CFSR); April 2011-present = Climate Forecast System Operational Analysis (CFSv2). See Kearney et al., 2020 (doi:10.5194/gmd-13-597-2020) for further details of atmospheric forcing, lateral boundary conditions, river input, and initialization data."
2012,Spring_pH_BBRKC_Model,7.9924,AFSC Bering Ecosystem Study Nutrient-Phytoplankton-Zooplankton,ROMS Bering10K,Spring_pH_BBRKC_Model,A pH index developed from Bering10K ROMS model output was calculated as the average bottom pH aggregated over the Bristol Bay red king crab management area from Feb-April.,Ecosystem,Physical,Darren Pilcher,Annually,N,Eastern Bering Sea,N,Spring pH index in Bristol Bay crab management area from the Bering10K ROMS-NPZ model,Bristol Bay Red King Crab,2021,2021,NA,NA,1,1,pH,5,NA,2/1/2003,4/30/2022,NA,NA,"Pilcher, D.J., Naiman, D.M., Cross, J.A., Hermann, A.J., Siedlecki, S.A., Gibson, G.A., and Mathis, J.T. (2019), Modeled effect of coastal biogeochemical processes, climate variability, and ocean acidification on aragonite saturation state in the Bering Sea, Front. Mar. Sci., 5:508, doi:10.3389/fmars.2018.00508.","This is a regional model of the Bering Sea region.  See https://beringnpz.github.io/roms-bering-sea/B10K-dataset-docs/ for further information about the ROMS Bering10K model.  Technical details for the specific hindcast simulation used here are as follows: 1) Source code: roms-bering-sea ROMS variant (https://github.com/beringnpz/roms-bering-sea), compiled 04/12/2019 from master branch, commit 0a2d6c80e7, 2) CPP flags: header file (see Apps/NEP/nep5.h from the corresponding source code commit) plus BEST_NPZ, PI_CONSTANT, GPPMID, 3) Model domain: Bering10K 10-km grid, 30 depth layers, 4) Forcing: Atmospheric forcing: 1970-1994 = Coordinated Ocean-ice Reference Experiments, version 2 (CORE); 1995-March 2011 = Climate Forecast System Reanalysis (CFSR); April 2011-present = Climate Forecast System Operational Analysis (CFSv2). See Kearney et al., 2020 (doi:10.5194/gmd-13-597-2020) for further details of atmospheric forcing, lateral boundary conditions, river input, and initialization data."
2011,Spring_pH_BBRKC_Model,7.9815,AFSC Bering Ecosystem Study Nutrient-Phytoplankton-Zooplankton,ROMS Bering10K,Spring_pH_BBRKC_Model,A pH index developed from Bering10K ROMS model output was calculated as the average bottom pH aggregated over the Bristol Bay red king crab management area from Feb-April.,Ecosystem,Physical,Darren Pilcher,Annually,N,Eastern Bering Sea,N,Spring pH index in Bristol Bay crab management area from the Bering10K ROMS-NPZ model,Bristol Bay Red King Crab,2021,2021,NA,NA,1,1,pH,5,NA,2/1/2003,4/30/2022,NA,NA,"Pilcher, D.J., Naiman, D.M., Cross, J.A., Hermann, A.J., Siedlecki, S.A., Gibson, G.A., and Mathis, J.T. (2019), Modeled effect of coastal biogeochemical processes, climate variability, and ocean acidification on aragonite saturation state in the Bering Sea, Front. Mar. Sci., 5:508, doi:10.3389/fmars.2018.00508.","This is a regional model of the Bering Sea region.  See https://beringnpz.github.io/roms-bering-sea/B10K-dataset-docs/ for further information about the ROMS Bering10K model.  Technical details for the specific hindcast simulation used here are as follows: 1) Source code: roms-bering-sea ROMS variant (https://github.com/beringnpz/roms-bering-sea), compiled 04/12/2019 from master branch, commit 0a2d6c80e7, 2) CPP flags: header file (see Apps/NEP/nep5.h from the corresponding source code commit) plus BEST_NPZ, PI_CONSTANT, GPPMID, 3) Model domain: Bering10K 10-km grid, 30 depth layers, 4) Forcing: Atmospheric forcing: 1970-1994 = Coordinated Ocean-ice Reference Experiments, version 2 (CORE); 1995-March 2011 = Climate Forecast System Reanalysis (CFSR); April 2011-present = Climate Forecast System Operational Analysis (CFSv2). See Kearney et al., 2020 (doi:10.5194/gmd-13-597-2020) for further details of atmospheric forcing, lateral boundary conditions, river input, and initialization data."
2010,Spring_pH_BBRKC_Model,7.9907,AFSC Bering Ecosystem Study Nutrient-Phytoplankton-Zooplankton,ROMS Bering10K,Spring_pH_BBRKC_Model,A pH index developed from Bering10K ROMS model output was calculated as the average bottom pH aggregated over the Bristol Bay red king crab management area from Feb-April.,Ecosystem,Physical,Darren Pilcher,Annually,N,Eastern Bering Sea,N,Spring pH index in Bristol Bay crab management area from the Bering10K ROMS-NPZ model,Bristol Bay Red King Crab,2021,2021,NA,NA,1,1,pH,5,NA,2/1/2003,4/30/2022,NA,NA,"Pilcher, D.J., Naiman, D.M., Cross, J.A., Hermann, A.J., Siedlecki, S.A., Gibson, G.A., and Mathis, J.T. (2019), Modeled effect of coastal biogeochemical processes, climate variability, and ocean acidification on aragonite saturation state in the Bering Sea, Front. Mar. Sci., 5:508, doi:10.3389/fmars.2018.00508.","This is a regional model of the Bering Sea region.  See https://beringnpz.github.io/roms-bering-sea/B10K-dataset-docs/ for further information about the ROMS Bering10K model.  Technical details for the specific hindcast simulation used here are as follows: 1) Source code: roms-bering-sea ROMS variant (https://github.com/beringnpz/roms-bering-sea), compiled 04/12/2019 from master branch, commit 0a2d6c80e7, 2) CPP flags: header file (see Apps/NEP/nep5.h from the corresponding source code commit) plus BEST_NPZ, PI_CONSTANT, GPPMID, 3) Model domain: Bering10K 10-km grid, 30 depth layers, 4) Forcing: Atmospheric forcing: 1970-1994 = Coordinated Ocean-ice Reference Experiments, version 2 (CORE); 1995-March 2011 = Climate Forecast System Reanalysis (CFSR); April 2011-present = Climate Forecast System Operational Analysis (CFSv2). See Kearney et al., 2020 (doi:10.5194/gmd-13-597-2020) for further details of atmospheric forcing, lateral boundary conditions, river input, and initialization data."
2009,Spring_pH_BBRKC_Model,7.9775,AFSC Bering Ecosystem Study Nutrient-Phytoplankton-Zooplankton,ROMS Bering10K,Spring_pH_BBRKC_Model,A pH index developed from Bering10K ROMS model output was calculated as the average bottom pH aggregated over the Bristol Bay red king crab management area from Feb-April.,Ecosystem,Physical,Darren Pilcher,Annually,N,Eastern Bering Sea,N,Spring pH index in Bristol Bay crab management area from the Bering10K ROMS-NPZ model,Bristol Bay Red King Crab,2021,2021,NA,NA,1,1,pH,5,NA,2/1/2003,4/30/2022,NA,NA,"Pilcher, D.J., Naiman, D.M., Cross, J.A., Hermann, A.J., Siedlecki, S.A., Gibson, G.A., and Mathis, J.T. (2019), Modeled effect of coastal biogeochemical processes, climate variability, and ocean acidification on aragonite saturation state in the Bering Sea, Front. Mar. Sci., 5:508, doi:10.3389/fmars.2018.00508.","This is a regional model of the Bering Sea region.  See https://beringnpz.github.io/roms-bering-sea/B10K-dataset-docs/ for further information about the ROMS Bering10K model.  Technical details for the specific hindcast simulation used here are as follows: 1) Source code: roms-bering-sea ROMS variant (https://github.com/beringnpz/roms-bering-sea), compiled 04/12/2019 from master branch, commit 0a2d6c80e7, 2) CPP flags: header file (see Apps/NEP/nep5.h from the corresponding source code commit) plus BEST_NPZ, PI_CONSTANT, GPPMID, 3) Model domain: Bering10K 10-km grid, 30 depth layers, 4) Forcing: Atmospheric forcing: 1970-1994 = Coordinated Ocean-ice Reference Experiments, version 2 (CORE); 1995-March 2011 = Climate Forecast System Reanalysis (CFSR); April 2011-present = Climate Forecast System Operational Analysis (CFSv2). See Kearney et al., 2020 (doi:10.5194/gmd-13-597-2020) for further details of atmospheric forcing, lateral boundary conditions, river input, and initialization data."
2008,Spring_pH_BBRKC_Model,7.9799,AFSC Bering Ecosystem Study Nutrient-Phytoplankton-Zooplankton,ROMS Bering10K,Spring_pH_BBRKC_Model,A pH index developed from Bering10K ROMS model output was calculated as the average bottom pH aggregated over the Bristol Bay red king crab management area from Feb-April.,Ecosystem,Physical,Darren Pilcher,Annually,N,Eastern Bering Sea,N,Spring pH index in Bristol Bay crab management area from the Bering10K ROMS-NPZ model,Bristol Bay Red King Crab,2021,2021,NA,NA,1,1,pH,5,NA,2/1/2003,4/30/2022,NA,NA,"Pilcher, D.J., Naiman, D.M., Cross, J.A., Hermann, A.J., Siedlecki, S.A., Gibson, G.A., and Mathis, J.T. (2019), Modeled effect of coastal biogeochemical processes, climate variability, and ocean acidification on aragonite saturation state in the Bering Sea, Front. Mar. Sci., 5:508, doi:10.3389/fmars.2018.00508.","This is a regional model of the Bering Sea region.  See https://beringnpz.github.io/roms-bering-sea/B10K-dataset-docs/ for further information about the ROMS Bering10K model.  Technical details for the specific hindcast simulation used here are as follows: 1) Source code: roms-bering-sea ROMS variant (https://github.com/beringnpz/roms-bering-sea), compiled 04/12/2019 from master branch, commit 0a2d6c80e7, 2) CPP flags: header file (see Apps/NEP/nep5.h from the corresponding source code commit) plus BEST_NPZ, PI_CONSTANT, GPPMID, 3) Model domain: Bering10K 10-km grid, 30 depth layers, 4) Forcing: Atmospheric forcing: 1970-1994 = Coordinated Ocean-ice Reference Experiments, version 2 (CORE); 1995-March 2011 = Climate Forecast System Reanalysis (CFSR); April 2011-present = Climate Forecast System Operational Analysis (CFSv2). See Kearney et al., 2020 (doi:10.5194/gmd-13-597-2020) for further details of atmospheric forcing, lateral boundary conditions, river input, and initialization data."
2007,Spring_pH_BBRKC_Model,7.9807,AFSC Bering Ecosystem Study Nutrient-Phytoplankton-Zooplankton,ROMS Bering10K,Spring_pH_BBRKC_Model,A pH index developed from Bering10K ROMS model output was calculated as the average bottom pH aggregated over the Bristol Bay red king crab management area from Feb-April.,Ecosystem,Physical,Darren Pilcher,Annually,N,Eastern Bering Sea,N,Spring pH index in Bristol Bay crab management area from the Bering10K ROMS-NPZ model,Bristol Bay Red King Crab,2021,2021,NA,NA,1,1,pH,5,NA,2/1/2003,4/30/2022,NA,NA,"Pilcher, D.J., Naiman, D.M., Cross, J.A., Hermann, A.J., Siedlecki, S.A., Gibson, G.A., and Mathis, J.T. (2019), Modeled effect of coastal biogeochemical processes, climate variability, and ocean acidification on aragonite saturation state in the Bering Sea, Front. Mar. Sci., 5:508, doi:10.3389/fmars.2018.00508.","This is a regional model of the Bering Sea region.  See https://beringnpz.github.io/roms-bering-sea/B10K-dataset-docs/ for further information about the ROMS Bering10K model.  Technical details for the specific hindcast simulation used here are as follows: 1) Source code: roms-bering-sea ROMS variant (https://github.com/beringnpz/roms-bering-sea), compiled 04/12/2019 from master branch, commit 0a2d6c80e7, 2) CPP flags: header file (see Apps/NEP/nep5.h from the corresponding source code commit) plus BEST_NPZ, PI_CONSTANT, GPPMID, 3) Model domain: Bering10K 10-km grid, 30 depth layers, 4) Forcing: Atmospheric forcing: 1970-1994 = Coordinated Ocean-ice Reference Experiments, version 2 (CORE); 1995-March 2011 = Climate Forecast System Reanalysis (CFSR); April 2011-present = Climate Forecast System Operational Analysis (CFSv2). See Kearney et al., 2020 (doi:10.5194/gmd-13-597-2020) for further details of atmospheric forcing, lateral boundary conditions, river input, and initialization data."
